0	( + ( 0 0 ) )
1	( + ( 0 1 ) )
2	( + ( 0 2 ) )
3	( + ( 0 3 ) )
4	( + ( 0 4 ) )
5	( + ( 0 5 ) )
6	( + ( 0 6 ) )
7	( + ( 0 7 ) )
8	( + ( 0 8 ) )
9	( + ( 0 9 ) )
10	( + ( 0 10 ) )
11	( + ( 0 11 ) )
12	( + ( 0 12 ) )
13	( + ( 0 13 ) )
14	( + ( 0 14 ) )
15	( + ( 0 15 ) )
16	( + ( 0 16 ) )
17	( + ( 0 17 ) )
18	( + ( 0 18 ) )
19	( + ( 0 19 ) )
1	( + ( 1 0 ) )
2	( + ( 1 1 ) )
3	( + ( 1 2 ) )
4	( + ( 1 3 ) )
5	( + ( 1 4 ) )
6	( + ( 1 5 ) )
7	( + ( 1 6 ) )
8	( + ( 1 7 ) )
9	( + ( 1 8 ) )
10	( + ( 1 9 ) )
11	( + ( 1 10 ) )
12	( + ( 1 11 ) )
13	( + ( 1 12 ) )
14	( + ( 1 13 ) )
15	( + ( 1 14 ) )
16	( + ( 1 15 ) )
17	( + ( 1 16 ) )
18	( + ( 1 17 ) )
19	( + ( 1 18 ) )
20	( + ( 1 19 ) )
2	( + ( 2 0 ) )
3	( + ( 2 1 ) )
4	( + ( 2 2 ) )
5	( + ( 2 3 ) )
6	( + ( 2 4 ) )
7	( + ( 2 5 ) )
8	( + ( 2 6 ) )
9	( + ( 2 7 ) )
10	( + ( 2 8 ) )
11	( + ( 2 9 ) )
12	( + ( 2 10 ) )
13	( + ( 2 11 ) )
14	( + ( 2 12 ) )
15	( + ( 2 13 ) )
16	( + ( 2 14 ) )
17	( + ( 2 15 ) )
18	( + ( 2 16 ) )
19	( + ( 2 17 ) )
20	( + ( 2 18 ) )
21	( + ( 2 19 ) )
3	( + ( 3 0 ) )
4	( + ( 3 1 ) )
5	( + ( 3 2 ) )
6	( + ( 3 3 ) )
7	( + ( 3 4 ) )
8	( + ( 3 5 ) )
9	( + ( 3 6 ) )
10	( + ( 3 7 ) )
11	( + ( 3 8 ) )
12	( + ( 3 9 ) )
13	( + ( 3 10 ) )
14	( + ( 3 11 ) )
15	( + ( 3 12 ) )
16	( + ( 3 13 ) )
17	( + ( 3 14 ) )
18	( + ( 3 15 ) )
19	( + ( 3 16 ) )
20	( + ( 3 17 ) )
21	( + ( 3 18 ) )
22	( + ( 3 19 ) )
4	( + ( 4 0 ) )
5	( + ( 4 1 ) )
6	( + ( 4 2 ) )
7	( + ( 4 3 ) )
8	( + ( 4 4 ) )
9	( + ( 4 5 ) )
10	( + ( 4 6 ) )
11	( + ( 4 7 ) )
12	( + ( 4 8 ) )
13	( + ( 4 9 ) )
14	( + ( 4 10 ) )
15	( + ( 4 11 ) )
16	( + ( 4 12 ) )
17	( + ( 4 13 ) )
18	( + ( 4 14 ) )
19	( + ( 4 15 ) )
20	( + ( 4 16 ) )
21	( + ( 4 17 ) )
22	( + ( 4 18 ) )
23	( + ( 4 19 ) )
5	( + ( 5 0 ) )
6	( + ( 5 1 ) )
7	( + ( 5 2 ) )
8	( + ( 5 3 ) )
9	( + ( 5 4 ) )
10	( + ( 5 5 ) )
11	( + ( 5 6 ) )
12	( + ( 5 7 ) )
13	( + ( 5 8 ) )
14	( + ( 5 9 ) )
15	( + ( 5 10 ) )
16	( + ( 5 11 ) )
17	( + ( 5 12 ) )
18	( + ( 5 13 ) )
19	( + ( 5 14 ) )
20	( + ( 5 15 ) )
21	( + ( 5 16 ) )
22	( + ( 5 17 ) )
23	( + ( 5 18 ) )
24	( + ( 5 19 ) )
6	( + ( 6 0 ) )
7	( + ( 6 1 ) )
8	( + ( 6 2 ) )
9	( + ( 6 3 ) )
10	( + ( 6 4 ) )
11	( + ( 6 5 ) )
12	( + ( 6 6 ) )
13	( + ( 6 7 ) )
14	( + ( 6 8 ) )
15	( + ( 6 9 ) )
16	( + ( 6 10 ) )
17	( + ( 6 11 ) )
18	( + ( 6 12 ) )
19	( + ( 6 13 ) )
20	( + ( 6 14 ) )
21	( + ( 6 15 ) )
22	( + ( 6 16 ) )
23	( + ( 6 17 ) )
24	( + ( 6 18 ) )
25	( + ( 6 19 ) )
7	( + ( 7 0 ) )
8	( + ( 7 1 ) )
9	( + ( 7 2 ) )
10	( + ( 7 3 ) )
11	( + ( 7 4 ) )
12	( + ( 7 5 ) )
13	( + ( 7 6 ) )
14	( + ( 7 7 ) )
15	( + ( 7 8 ) )
16	( + ( 7 9 ) )
17	( + ( 7 10 ) )
18	( + ( 7 11 ) )
19	( + ( 7 12 ) )
20	( + ( 7 13 ) )
21	( + ( 7 14 ) )
22	( + ( 7 15 ) )
23	( + ( 7 16 ) )
24	( + ( 7 17 ) )
25	( + ( 7 18 ) )
26	( + ( 7 19 ) )
8	( + ( 8 0 ) )
9	( + ( 8 1 ) )
10	( + ( 8 2 ) )
11	( + ( 8 3 ) )
12	( + ( 8 4 ) )
13	( + ( 8 5 ) )
14	( + ( 8 6 ) )
15	( + ( 8 7 ) )
16	( + ( 8 8 ) )
17	( + ( 8 9 ) )
18	( + ( 8 10 ) )
19	( + ( 8 11 ) )
20	( + ( 8 12 ) )
21	( + ( 8 13 ) )
22	( + ( 8 14 ) )
23	( + ( 8 15 ) )
24	( + ( 8 16 ) )
25	( + ( 8 17 ) )
26	( + ( 8 18 ) )
27	( + ( 8 19 ) )
9	( + ( 9 0 ) )
10	( + ( 9 1 ) )
11	( + ( 9 2 ) )
12	( + ( 9 3 ) )
13	( + ( 9 4 ) )
14	( + ( 9 5 ) )
15	( + ( 9 6 ) )
16	( + ( 9 7 ) )
17	( + ( 9 8 ) )
18	( + ( 9 9 ) )
19	( + ( 9 10 ) )
20	( + ( 9 11 ) )
21	( + ( 9 12 ) )
22	( + ( 9 13 ) )
23	( + ( 9 14 ) )
24	( + ( 9 15 ) )
25	( + ( 9 16 ) )
26	( + ( 9 17 ) )
27	( + ( 9 18 ) )
28	( + ( 9 19 ) )
10	( + ( 10 0 ) )
11	( + ( 10 1 ) )
12	( + ( 10 2 ) )
13	( + ( 10 3 ) )
14	( + ( 10 4 ) )
15	( + ( 10 5 ) )
16	( + ( 10 6 ) )
17	( + ( 10 7 ) )
18	( + ( 10 8 ) )
19	( + ( 10 9 ) )
20	( + ( 10 10 ) )
21	( + ( 10 11 ) )
22	( + ( 10 12 ) )
23	( + ( 10 13 ) )
24	( + ( 10 14 ) )
25	( + ( 10 15 ) )
26	( + ( 10 16 ) )
27	( + ( 10 17 ) )
28	( + ( 10 18 ) )
29	( + ( 10 19 ) )
11	( + ( 11 0 ) )
12	( + ( 11 1 ) )
13	( + ( 11 2 ) )
14	( + ( 11 3 ) )
15	( + ( 11 4 ) )
16	( + ( 11 5 ) )
17	( + ( 11 6 ) )
18	( + ( 11 7 ) )
19	( + ( 11 8 ) )
20	( + ( 11 9 ) )
21	( + ( 11 10 ) )
22	( + ( 11 11 ) )
23	( + ( 11 12 ) )
24	( + ( 11 13 ) )
25	( + ( 11 14 ) )
26	( + ( 11 15 ) )
27	( + ( 11 16 ) )
28	( + ( 11 17 ) )
29	( + ( 11 18 ) )
30	( + ( 11 19 ) )
12	( + ( 12 0 ) )
13	( + ( 12 1 ) )
14	( + ( 12 2 ) )
15	( + ( 12 3 ) )
16	( + ( 12 4 ) )
17	( + ( 12 5 ) )
18	( + ( 12 6 ) )
19	( + ( 12 7 ) )
20	( + ( 12 8 ) )
21	( + ( 12 9 ) )
22	( + ( 12 10 ) )
23	( + ( 12 11 ) )
24	( + ( 12 12 ) )
25	( + ( 12 13 ) )
26	( + ( 12 14 ) )
27	( + ( 12 15 ) )
28	( + ( 12 16 ) )
29	( + ( 12 17 ) )
30	( + ( 12 18 ) )
31	( + ( 12 19 ) )
13	( + ( 13 0 ) )
14	( + ( 13 1 ) )
15	( + ( 13 2 ) )
16	( + ( 13 3 ) )
17	( + ( 13 4 ) )
18	( + ( 13 5 ) )
19	( + ( 13 6 ) )
20	( + ( 13 7 ) )
21	( + ( 13 8 ) )
22	( + ( 13 9 ) )
23	( + ( 13 10 ) )
24	( + ( 13 11 ) )
25	( + ( 13 12 ) )
26	( + ( 13 13 ) )
27	( + ( 13 14 ) )
28	( + ( 13 15 ) )
29	( + ( 13 16 ) )
30	( + ( 13 17 ) )
31	( + ( 13 18 ) )
32	( + ( 13 19 ) )
14	( + ( 14 0 ) )
15	( + ( 14 1 ) )
16	( + ( 14 2 ) )
17	( + ( 14 3 ) )
18	( + ( 14 4 ) )
19	( + ( 14 5 ) )
20	( + ( 14 6 ) )
21	( + ( 14 7 ) )
22	( + ( 14 8 ) )
23	( + ( 14 9 ) )
24	( + ( 14 10 ) )
25	( + ( 14 11 ) )
26	( + ( 14 12 ) )
27	( + ( 14 13 ) )
28	( + ( 14 14 ) )
29	( + ( 14 15 ) )
30	( + ( 14 16 ) )
31	( + ( 14 17 ) )
32	( + ( 14 18 ) )
33	( + ( 14 19 ) )
15	( + ( 15 0 ) )
16	( + ( 15 1 ) )
17	( + ( 15 2 ) )
18	( + ( 15 3 ) )
19	( + ( 15 4 ) )
20	( + ( 15 5 ) )
21	( + ( 15 6 ) )
22	( + ( 15 7 ) )
23	( + ( 15 8 ) )
24	( + ( 15 9 ) )
25	( + ( 15 10 ) )
26	( + ( 15 11 ) )
27	( + ( 15 12 ) )
28	( + ( 15 13 ) )
29	( + ( 15 14 ) )
30	( + ( 15 15 ) )
31	( + ( 15 16 ) )
32	( + ( 15 17 ) )
33	( + ( 15 18 ) )
34	( + ( 15 19 ) )
16	( + ( 16 0 ) )
17	( + ( 16 1 ) )
18	( + ( 16 2 ) )
19	( + ( 16 3 ) )
20	( + ( 16 4 ) )
21	( + ( 16 5 ) )
22	( + ( 16 6 ) )
23	( + ( 16 7 ) )
24	( + ( 16 8 ) )
25	( + ( 16 9 ) )
26	( + ( 16 10 ) )
27	( + ( 16 11 ) )
28	( + ( 16 12 ) )
29	( + ( 16 13 ) )
30	( + ( 16 14 ) )
31	( + ( 16 15 ) )
32	( + ( 16 16 ) )
33	( + ( 16 17 ) )
34	( + ( 16 18 ) )
35	( + ( 16 19 ) )
17	( + ( 17 0 ) )
18	( + ( 17 1 ) )
19	( + ( 17 2 ) )
20	( + ( 17 3 ) )
21	( + ( 17 4 ) )
22	( + ( 17 5 ) )
23	( + ( 17 6 ) )
24	( + ( 17 7 ) )
25	( + ( 17 8 ) )
26	( + ( 17 9 ) )
27	( + ( 17 10 ) )
28	( + ( 17 11 ) )
29	( + ( 17 12 ) )
30	( + ( 17 13 ) )
31	( + ( 17 14 ) )
32	( + ( 17 15 ) )
33	( + ( 17 16 ) )
34	( + ( 17 17 ) )
35	( + ( 17 18 ) )
36	( + ( 17 19 ) )
18	( + ( 18 0 ) )
19	( + ( 18 1 ) )
20	( + ( 18 2 ) )
21	( + ( 18 3 ) )
22	( + ( 18 4 ) )
23	( + ( 18 5 ) )
24	( + ( 18 6 ) )
25	( + ( 18 7 ) )
26	( + ( 18 8 ) )
27	( + ( 18 9 ) )
28	( + ( 18 10 ) )
29	( + ( 18 11 ) )
30	( + ( 18 12 ) )
31	( + ( 18 13 ) )
32	( + ( 18 14 ) )
33	( + ( 18 15 ) )
34	( + ( 18 16 ) )
35	( + ( 18 17 ) )
36	( + ( 18 18 ) )
37	( + ( 18 19 ) )
19	( + ( 19 0 ) )
20	( + ( 19 1 ) )
21	( + ( 19 2 ) )
22	( + ( 19 3 ) )
23	( + ( 19 4 ) )
24	( + ( 19 5 ) )
25	( + ( 19 6 ) )
26	( + ( 19 7 ) )
27	( + ( 19 8 ) )
28	( + ( 19 9 ) )
29	( + ( 19 10 ) )
30	( + ( 19 11 ) )
31	( + ( 19 12 ) )
32	( + ( 19 13 ) )
33	( + ( 19 14 ) )
34	( + ( 19 15 ) )
35	( + ( 19 16 ) )
36	( + ( 19 17 ) )
37	( + ( 19 18 ) )
38	( + ( 19 19 ) )
